Num,Ending,Class
1,거나,1
2,거늘,1
3,거니,1
4,거니와,1
5,거드면,1
6,거든,1
7,거라,9
8,건,1
9,건대,9
10,건마는,1
11,것다,1
12,게,1
13,게,4
14,게,9
15,게끔,9
16,게나,9
17,겠,1
18,고,1
19,고는,4
20,고는,9
21,고도,1
22,고말고,1
23,고서,9
24,고야,9
25,고자,12
26,곤,9
27,관데,1
28,구나,16
29,구려,9
30,구려,16
31,구먼,9
32,군,16
33,기,1
34,기로,1
35,기로니,1
36,기로서,1
37,기로서니,1
38,기로선들,1
39,기에,1
40,ㄴ,10
41,ㄴ,23
42,ㄴ가,18
43,ㄴ감,18
44,ㄴ걸,2
45,ㄴ고,18
46,ㄴ다,10
47,ㄴ다고,10
48,ㄴ다나,10
49,ㄴ다네,10
50,ㄴ다느니,10
51,ㄴ다니,10
52,ㄴ다니까,10
53,ㄴ다더라,10
54,ㄴ다마는,10
55,ㄴ다며,10
56,ㄴ다면,10
57,ㄴ다면서,10
58,ㄴ다손,10
59,ㄴ다오,10
60,ㄴ다지,10
61,ㄴ단다,10
62,ㄴ담,10
63,ㄴ답니까,10
64,ㄴ답니다,10
65,ㄴ답시고,10
66,ㄴ대,10
67,ㄴ대요,10
68,ㄴ데,18
69,ㄴ뎁쇼,17
70,ㄴ들,2
71,ㄴ바,2
72,ㄴ즉,2
73,ㄴ즉슨,2
74,ㄴ지,18
75,나,2
76,나,9
77,나니,9
78,나마,2
79,나이까,12
80,나이다,12
81,남,9
82,냐,18
83,냐고,18
84,너라,23
85,네,1
86,노니,9
87,노라,9
88,노라고,9
89,노라니,12
90,노라니까,12
91,노라면,12
92,뇨,17
93,누,4
94,누나,9
95,누먼,9
96,느냐,12
97,느냐고,12
98,느뇨,12
99,느니,12
100,느니라,12
101,느니만,12
102,느니만치,12
103,느니만큼,12
104,느라,9
105,느라고,9
106,는,12
107,는가,12
108,는감,12
109,는걸,12
110,는고,12
111,는구나,9
112,는구려,9
113,는군,9
114,는다,14
115,는다고,14
116,는다나,14
117,는다네,14
118,는다느니,14
119,는다니,14
120,는다니까,14
121,는다더라,14
122,는다마는,14
123,는다며,14
124,는다면,14
125,는다면서,14
126,는다손,14
127,는다오,14
128,는다지,14
129,는단다,14
130,는담,14
131,는답니까,14
132,는답니다,14
133,는답시고,14
134,는대,14
135,는대요,14
136,는데,12
137,는뎁쇼,12
138,는바,12
139,는지,12
140,는지고,12
141,는지라,12
142,니,1
143,니,2
144,니,18
145,니까,2
146,니까는,2
147,니라,18
148,니만치,2
149,니만큼,2
150,다,1
151,다가,1
152,다가는,1
153,다간,1
154,다고,19
155,다나,19
156,다네,19
157,다느니,19
158,다니,1
159,다니,19
160,다니까,19
161,다더라,19
162,다마는,19
163,다마다,1
164,다며,19
165,다면,19
166,다면서,19
167,다손,19
168,다지,19
169,단다,19
170,담,19
171,답니까,19
172,답니다,19
173,답시고,19
174,대,19
175,대요,19
176,더,1
177,더구나,1
178,더구려,1
179,더군,1
180,더냐,1
181,더뇨,1
182,더니,1
183,더니라,1
184,더니마는,1
185,더니만,1
186,더니이까,1
187,더니이다,1
188,더라,1
189,더라나,1
190,더라니,1
191,더라니까,1
192,더라도,1
193,더라며,1
194,더라면,1
195,더라면서,1
196,더라손,1
197,더라지,1
198,더람,1
199,더이까,1
200,더이다,1
201,던,1
202,던가,1
203,던감,1
204,던걸,1
205,던고,1
206,던데,1
207,던바,1
208,던지,1
209,데,1
210,데요,1
211,도다,1
212,도록,9
213,되,1
214,든,1
215,든가,1
216,든지,1
217,듯,1
218,듯이,1
219,디,4
220,디,19
221,ㄹ,2
222,ㄹ거나,10
223,ㄹ걸,2
224,ㄹ게,10
225,ㄹ까,2
226,ㄹ깝쇼,10
227,ㄹ는지,2
228,ㄹ라,2
229,ㄹ라고,2
230,ㄹ라치면,10
231,ㄹ락,10
232,ㄹ래,10
233,ㄹ러니,2
234,ㄹ러라,2
235,ㄹ런고,2
236,ㄹ레,2
237,ㄹ레라,2
238,ㄹ망정,2
239,ㄹ밖에,2
240,ㄹ뿐더러,2
241,ㄹ사,2
242,ㄹ새,2
243,ㄹ세,2
244,ㄹ세,5
245,ㄹ세라,2
246,ㄹ세말이지,2
247,ㄹ수록,2
248,ㄹ시,2
249,ㄹ시고,18
250,ㄹ쏘냐,2
251,ㄹ쏜가,2
252,ㄹ작시면,10
253,ㄹ지,2
254,ㄹ지나,2
255,ㄹ지니,2
256,ㄹ지니라,2
257,ㄹ지라,2
258,ㄹ지라도,2
259,ㄹ지로다,2
260,ㄹ지며,10
261,ㄹ지어다,2
262,ㄹ지언정,2
263,ㄹ진대,2
264,ㄹ진대는,2
265,ㄹ진댄,2
266,ㄹ진저,2
267,라,22
268,라고,10
269,라고,22
270,라나,22
271,라네,22
272,라니,22
273,라니까,22
274,라도,22
275,라며,22
276,라면,22
277,라면서,22
278,라서,22
279,라야,22
280,라야만,22
281,라오,22
282,라지,22
283,락,5
284,란다,22
285,랍니까,22
286,랍니다,22
287,랍시고,22
288,래,22
289,래요,22
290,랴,10
291,러,10
292,러니,22
293,러니라,22
294,러니이까,22
295,러니이다,22
296,러라,22
297,러이까,22
298,러이다,22
299,런가,22
300,런들,22
301,려,10
302,려거든,2
303,려고,2
304,려나,2
305,려니,2
306,려니와,2
307,려든,10
308,려면,2
309,려무나,10
310,련마는,2
311,련만,2
312,렴,10
313,렷다,2
314,로고,22
315,로구나,22
316,로구려,22
317,로군,22
318,로다,22
319,로되,22
320,로라,22
321,로서니,22
322,로세,22
323,리,2
324,리까,2
325,리니,2
326,리니라,2
327,리다,2
328,리라,2
329,리로다,2
330,리만치,5
331,리만큼,5
332,리오,2
333,ㅁ,2
334,ㅁ세,10
335,ㅁ에도,2
336,ㅁ에랴,2
337,마,10
338,매,2
339,며,2
340,면,2
341,면서,2
342,므로,2
343,ㅂ네,2
344,ㅂ늰다,2
345,ㅂ니까,2
346,ㅂ니다,2
347,ㅂ디까,2
348,ㅂ디다,2
349,ㅂ딘다,2
350,ㅂ시다,10
351,ㅂ시사,10
352,ㅂ시오,10
353,ㅂ죠,2
354,ㅂ지요,2
355,사,5
356,사이다,10
357,세,10
358,세나,9
359,세요,2
360,셔요,2
361,소,4
362,소서,5
363,소이까,1
364,습네,8
365,습늰다,8
366,습니까,8
367,습니다,8
368,습디까,8
369,습디다,8
370,습딘다,8
371,습죠,8
372,습지요,8
373,시,2
374,시라,10
375,시압,10
376,시어요,2
377,십사,10
378,십시다,10
379,십시오,10
380,아,6
381,아다,11
382,아다가,11
383,아도,6
384,아라,6
385,아서,6
386,아야,6
387,아야만,6
388,아야지,6
389,아요,6
390,아지이다,6
391,았,6
392,았었,6
393,았자,6
394,야,22
395,어,3
396,어다,15
397,어다가,15
398,어도,3
399,어라,3
400,어서,3
401,어야,3
402,어야만,3
403,어야지,3
404,어요,3
405,어지이다,3
406,언마는,22
407,언정,22
408,었,3
409,었었,3
410,에요,21
411,여,24
412,여도,24
413,여라,24
414,여서,24
415,여야,24
416,여야지,24
417,여요,24
418,여지이다,24
419,였,24
420,였었,24
421,였자,24
422,오,5
423,오니까,5
424,오리까,5
425,오리다,5
426,오리이까,5
427,오리이다,5
428,오이다,5
429,올시다,22
430,옵,5
431,옵나이까,5
432,옵나이다,5
433,옵니까,5
434,옵니다,5
435,옵디까,5
436,옵디다,5
437,옵소서,5
438,옵시,5
439,와,5
440,외다,5
441,요,22
442,우,19
443,으나,7
444,으나마,7
445,으냐,20
446,으냐고,20
447,으뇨,20
448,으니,7
449,으니,20
450,으니까,7
451,으니까는,7
452,으니라,20
453,으니만치,7
454,으니만큼,7
455,으라,13
456,으라고,13
457,으라나,13
458,으라느니,13
459,으라니까,13
460,으라며,13
461,으라면서,13
462,으라손,13
463,으락,13
464,으란,13
465,으람,13
466,으랴,13
467,으러,13
468,으려,13
469,으려거든,13
470,으려고,13
471,으려나,13
472,으려니,13
473,으려니와,7
474,으려든,13
475,으려면,7
476,으려무나,13
477,으련,13
478,으련마는,7
479,으렴,13
480,으렵니까,13
481,으렵니다,13
482,으렷다,7
483,으리,7
484,으리까,7
485,으리니,7
486,으리니라,7
487,으리다,7
488,으리라,7
489,으리로다,7
490,으리만치,7
491,으리만큼,7
492,으리오,7
493,으마,13
494,으매,7
495,으며,7
496,으면,7
497,으면서,7
498,으므로,7
499,으사,7
500,으사이다,13
501,으세,13
502,으세요,7
503,으셔요,7
504,으소서,7
505,으시,7
506,으시라,13
507,으시압,13
508,으시어요,7
509,으십사,13
510,으십시다,13
511,으십시오,13
512,으오,7
513,으오니까,7
514,으오리까,7
515,으오리다,7
516,으오리이까,7
517,으오리이다,7
518,으오이다,7
519,으옵,7
520,으옵나이까,7
521,으옵나이다,7
522,으옵니까,7
523,으옵니다,7
524,으옵디까,7
525,으옵디다,7
526,으옵소서,7
527,으옵시,7
528,으와,7
529,으우,7
530,으이,20
531,은,7
532,은가,20
533,은감,20
534,은걸,7
535,은고,20
536,은데,20
537,은뎁쇼,20
538,은들,7
539,은즉,7
540,은즉슨,7
541,은지,20
542,을,7
543,을거나,13
544,을걸,7
545,을게,13
546,을까,7
547,을깝쇼,13
548,을는지,7
549,을데라니,20
550,을라,7
551,을라고,7
552,을라치면,13
553,을락,13
554,을래,13
555,을러니,7
556,을러라,7
557,을런가,7
558,을런고,7
559,을레,7
560,을레라,7
561,을망정,7
562,을밖에,7
563,을뿐더러,7
564,을새,7
565,을세,7
566,을세라,7
567,을세말이지,7
568,을수록,7
569,을시,7
570,을시고,20
571,을쏘냐,7
572,을쏜가,7
573,을작시면,13
574,을지,7
575,을지나,7
576,을지니,7
577,을지니라,7
578,을지라,7
579,을지라도,7
580,을지로다,7
581,을지며,7
582,을지어다,7
583,을지언정,7
584,을진대,7
585,을진대는,7
586,을진저,7
587,음,7
588,음세,13
589,음에도,7
590,음에랴,7
591,읍시다,13
592,읍시사,13
593,읍시오,7
594,자,9
595,자고,9
596,자꾸나,9
597,자느니,9
598,자니까,9
599,자마자,9
600,자며,9
601,자면,9
602,자면서,9
603,자손,9
604,죠,1
605,지,4
606,지마는,1
607,지만,1
608,지요,1
